index,user_query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
74,student_29,2.0,5.0,4.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,5.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,1.0,3.0,5.0,5.0,1.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0
75,student_34,1.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0
76,student_45,4.0,4.0,5.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0
77,student_48,1.0,3.0,1.0,4.0,5.0,1.0,1.0,3.0,4.0,2.0,5.0,5.0,3.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0
78,student_55,1.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0,3.0,5.0,3.0,5.0,1.0,3.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0
79,student_59,4.0,3.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0
80,student_61,3.0,4.0,1.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0
81,student_64,3.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,3.0,5.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,5.0,2.0
82,student_69,3.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,3.0,5.0
83,student_74,3.0,5.0,4.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0
84,student_75,4.0,2.0,1.0,4.0,2.0,5.0,1.0,4.0,5.0,4.0,1.0,5.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,2.0,5.0,2.0
85,student_78,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,5.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0
86,student_83,2.0,4.0,1.0,2.0,4.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,5.0
87,student_9,2.0,1.0,2.0,1.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0
88,student_96,5.0,4.0,2.0,4.0,5.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0
89,student_98,1.0,5.0,4.0,1.0,3.0,3.0,1.0,2.0,5.0,1.0,4.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0
90,teacher_124,1.0,2.0,5.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0
91,teacher_144,2.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0
92,teacher_161,1.0,1.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0
93,teacher_164,3.0,4.0,3.0,2.0,5.0,1.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0
94,teacher_166,5.0,5.0,5.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,5.0,4.0,3.0,5.0
95,teacher_167,4.0,1.0,5.0,3.0,5.0,4.0,1.0,4.0,5.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0
96,teacher_17,1.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,1.0,3.0
97,teacher_170,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,4.0,4.0,2.0,5.0,2.0,2.0
98,teacher_180,2.0,4.0,2.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,5.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0
99,teacher_182,3.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,3.0,5.0,1.0,1.0,1.0
100,teacher_193,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0
101,teacher_194,2.0,1.0,5.0,2.0,1.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,1.0,5.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0
